Description;Category;Service
Mesin cuci bocor saat digunakan;Mesin Cuci;Maintenance
Perlu instalasi mesin cuci baru;Mesin Cuci;Instalasi
Pemanas air tidak berfungsi dengan baik, butuh maintenance;Plumbing;Maintenance
Kulkas tidak dingin, perlu perbaikan secepatnya;Kulkas;Instalasi
Layar komputer tidak menyala, butuh perbaikan;Computer;Instalasi
Kulkas perlu dibersihkan dan maintenance rutin;Kulkas;Maintenance
Lampu di kamar tidur sering mati sendiri, perlu dicek;Electrical;Maintenance
Perlu instalasi pipa baru untuk air panas;Plumbing;Maintenance
Remote AC tidak berfungsi, perlu diganti;AC;Maintenance
Perlu instalasi software baru di komputer;Computer;Maintenance
AC tidak dingin, perlu perbaikan;AC;Maintenance
Mesin cuci bocor saat digunakan;Mesin Cuci;Repair
AC perlu maintenance rutin, sudah lama tidak dibersihkan;AC;Maintenance
Perlu instalasi kabel baru untuk ruang kerja;Electrical;Instalasi
Seal pintu kulkas rusak, perlu diganti;Kulkas;Repair
Keran di kamar mandi bocor dan air terus mengalir, perlu diperbaiki;Plumbing;Repair
Kulkas mengeluarkan suara bising, butuh dicek;Kulkas;Maintenance
Remote AC tidak berfungsi, perlu diganti;AC;Repair
Komputer saya sering restart sendiri, mungkin ada masalah dengan hardware;Computer;Repair
Saluran air di dapur tersumbat, butuh bantuan;Plumbing;Repair
Stop kontak di ruang tamu rusak, perlu diganti;Electrical;Repair
Perlu instalasi pipa baru untuk air panas;Plumbing;Instalasi
Toilet tidak bisa disiram, perlu perbaikan;Plumbing;Repair
AC mengeluarkan bau tidak sedap, butuh dicek;AC;Maintenance
Perlu instalasi lampu di garasi;Electrical;Instalasi
Pemanas air tidak berfungsi dengan baik, butuh maintenance;Plumbing;Maintenance
Kulkas tidak dingin, perlu perbaikan secepatnya;Kulkas;Repair
Lampu di kamar tidur sering mati sendiri, perlu dicek;Electrical;Repair
Keyboard komputer tidak berfungsi dengan baik;Computer;Repair
Perlu instalasi software baru di komputer;Computer;Instalasi
Perlu instalasi kulkas baru di dapur;Kulkas;Instalasi
AC tidak dingin, perlu perbaikan;AC;Repair
Mesin cuci tidak mau berputar, butuh perbaikan;Mesin Cuci;Repair
Komputer saya sering restart sendiri, mungkin ada masalah dengan hardware;Computer;Repair
Layar komputer tidak menyala, butuh perbaikan;Computer;Repair
Mesin cuci tidak mau mengeringkan pakaian;Mesin Cuci;Repair
Perlu instalasi pipa baru untuk air panas;Plumbing;Instalasi
Perlu instalasi mesin cuci baru;Mesin Cuci;Instalasi
Toilet tidak bisa disiram, perlu perbaikan;Plumbing;Repair
Butuh maintenance rutin untuk mesin cuci;Mesin Cuci;Maintenance
AC di kamar tidur bocor, perlu diperbaiki;AC;Repair
Perlu instalasi kipas angin baru di dapur;Electrical;Instalasi
Komputer perlu upgrade hard drive ke SSD;Computer;Maintenance
Mesin cuci bergetar terlalu keras saat beroperasi;Mesin Cuci;Repair
Pintu lemari es tidak bisa menutup dengan baik;Kulkas;Repair
